,container,first_date,first_location,first_status,last_date,last_location,last_status
0,TEMU9040627,2019-04-12 21:56:00,VALPARAISO,Gate out empty,2019-05-10 01:00:00,HONG KONG,Vessel arrival
1,HLBU1654150,2019-04-01 16:13:00,CALLAO,Gate out empty,2019-04-18 07:00:00,"NEW YORK, NY",Vessel arrival
2,HLXU1342252,2019-04-02 09:20:00,CALLAO,Gate out empty,2019-06-01 06:00:00,BUSAN,Vessel arrival
3,UACU3734915,2019-04-03 18:36:00,CALLAO,Gate out empty,2019-06-01 06:00:00,BUSAN,Vessel arrival
4,HLBU9072639,2019-04-09 02:21:00,CALLAO,Gate out empty,2019-05-15 17:00:00,SHANGHAI,Vessel arrival
5,HAMU1089717,2019-04-04 11:38:00,CALLAO,Gate out empty,2019-05-17 00:00:00,LIANYUNGANG,Discharge
6,XINU1139100,2019-04-05 08:55:00,CALLAO,Gate out empty,2019-05-24 00:00:00,HUANGPU,Discharge
7,HLXU3449105,2019-04-04 08:51:00,CALLAO,Gate out empty,2019-06-01 06:00:00,BUSAN,Vessel arrival
8,TGHU6111945,2019-04-10 18:18:00,CALLAO,Gate out empty,2019-04-26 12:00:00,CAUCEDO,Vessel arrival
9,HAMU1181314,2019-04-12 14:53:00,CALLAO,Gate out empty,2019-04-25 08:00:00,SAN ANTONIO,Vessel arrival
10,UACU5692022,2019-04-03 11:49:00,CALLAO,Gate out empty,2019-05-05 18:00:00,"SAN JUAN, PUERTO RICO",Vessel arrival
11,UACU5453075,2019-04-12 09:49:00,CALLAO,Gate out empty,2019-04-22 15:00:00,SAN ANTONIO,Vessel arrival
12,HAMU1073475,2019-04-03 23:57:00,CALLAO,Gate out empty,2019-04-27 08:00:00,SAN VICENTE,Vessel arrival
13,HAMU1284734,2019-04-11 11:17:00,CALLAO,Gate out empty,2019-04-22 15:00:00,SAN ANTONIO,Vessel arrival
14,HLXU8039525,2019-04-12 13:03:00,CALLAO,Gate out empty,2019-05-02 07:00:00,"NEW YORK, NY",Vessel arrival
15,UACU8176694,2019-04-02 17:31:00,CALLAO,Gate out empty,2019-04-13 10:00:00,GUAYAQUIL,Vessel arrival
16,UACU8464047,2019-04-01 16:45:00,CALLAO,Gate out empty,2019-05-04 22:00:00,"MAZATLAN, SIN",Vessel arrival
17,HLBU1875819,2019-04-10 20:31:00,CALLAO,Gate out empty,2019-04-22 15:00:00,SAN ANTONIO,Vessel arrival
18,HLBU1951884,2019-04-08 14:25:00,CALLAO,Gate out empty,2019-04-15 06:00:00,BUENAVENTURA,Vessel arrival
19,UACU5545320,2019-04-09 09:52:00,CALLAO,Gate out empty,2019-05-11 06:00:00,HAMBURG,Vessel arrival
20,HLBU1929392,2019-04-03 14:47:00,CALLAO,Gate out empty,2019-04-15 15:00:00,SAN ANTONIO,Vessel arrival
21,UACU5699557,2019-04-12 14:49:00,CALLAO,Gate out empty,2019-04-25 08:00:00,SAN ANTONIO,Vessel arrival
22,HLXU1029715,2019-04-11 12:12:00,CALLAO,Gate out empty,2019-04-19 15:00:00,BUENAVENTURA,Vessel arrival
23,AMFU3165522,2019-04-10 19:44:00,CALLAO,Gate out empty,2019-05-06 15:00:00,PROVIDENCIALES,Vessel arrival
24,GATU1304603,2019-04-11 11:12:00,CALLAO,Gate out empty,2019-04-19 15:00:00,BUENAVENTURA,Vessel arrival
25,HAMU1022652,2019-04-09 10:09:00,CALLAO,Gate out empty,2019-05-23 00:00:00,ZHANGJIAGANG,Discharge
26,HAMU1101535,2019-04-08 16:27:00,CALLAO,Gate out empty,2019-04-25 07:00:00,"NEW YORK, NY",Vessel arrival
27,HLBU1345188,2019-04-11 14:03:00,CALLAO,Gate out empty,2019-06-08 06:00:00,BUSAN,Vessel arrival
28,HLXU1017669,2019-04-03 14:18:00,CALLAO,Gate out empty,2019-06-01 06:00:00,BUSAN,Vessel arrival
29,HLXU1275663,2019-04-08 15:40:00,CALLAO,Gate out empty,2019-04-20 10:00:00,GUAYAQUIL,Vessel arrival
