container,carrier,timedelta,first_date,first_status,first_status_code,first_location,first_latitude,first_longitude,first_vehicle,last_date,last_status,last_status_code,last_location,last_latitude,last_longitude,last_vehicle
TGHU4719659,2,24.945833333333333,2019-03-06 10:32:00,Gate out empty,1,SANTOS,-23.960833,-46.333889,2,2019-03-31 09:14:00,Departure from,8,CALLAO,-12.066667,-77.15,2
UACU8349980,2,25.102777777777778,2019-03-06 10:32:00,Gate out empty,1,SANTOS,-23.960833,-46.333889,2,2019-03-31 13:00:00,Departure from,8,CALLAO,-12.066667,-77.15,2
HLXU5022220,2,35.73888888888889,2019-02-28 17:02:00,Gate out empty,1,SANTOS,-23.960833,-46.333889,2,2019-04-05 10:46:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
CPSU1773332,2,31.440277777777776,2019-02-28 13:43:00,Gate out empty,1,SANTOS,-23.960833,-46.333889,2,2019-04-01 00:17:00,Departure from,8,CALLAO,-12.066667,-77.15,2
TGHU3672032,2,31.284027777777776,2019-02-28 11:06:00,Gate out empty,1,SANTOS,-23.960833,-46.333889,2,2019-03-31 17:55:00,Departure from,8,CALLAO,-12.066667,-77.15,2
UACU8509692,2,32.888194444444444,2019-02-27 17:23:00,Gate out empty,1,SANTOS,-23.960833,-46.333889,2,2019-04-01 14:42:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
HLXU6556811,2,37.19583333333333,2019-02-25 18:39:00,Gate out empty,1,SANTOS,-23.960833,-46.333889,2,2019-04-03 23:21:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
UACU5446902,2,37.30138888888889,2019-02-25 17:35:00,Gate out empty,1,SANTOS,-23.960833,-46.333889,2,2019-04-04 00:49:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
HLXU5270973,2,33.06319444444444,2019-02-28 14:49:00,Gate out empty,1,RIO DE JANEIRO,-22.9110137,-43.2093727,2,2019-04-02 16:20:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
TGHU4593405,2,32.91111111111111,2019-02-28 14:53:00,Gate out empty,1,RIO DE JANEIRO,-22.9110137,-43.2093727,2,2019-04-02 12:45:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
UACU8150555,2,42.78333333333333,2019-02-28 14:04:00,Gate out empty,1,RIO DE JANEIRO,-22.9110137,-43.2093727,2,2019-04-12 08:52:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
UACU8188946,2,32.68819444444444,2019-02-28 15:44:00,Gate out empty,1,RIO DE JANEIRO,-22.9110137,-43.2093727,2,2019-04-02 08:15:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
UACU8378463,2,31.972916666666666,2019-02-28 16:07:00,Gate out empty,1,RIO DE JANEIRO,-22.9110137,-43.2093727,2,2019-04-01 15:28:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
UACU5655646,2,34.71875,2019-02-27 14:23:00,Gate out empty,1,"ITAJAI, SC",-26.9117879,-48.6669852,2,2019-04-03 07:38:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
UACU5946981,2,34.31319444444444,2019-02-26 16:18:00,Gate out empty,1,"ITAJAI, SC",-26.9117879,-48.6669852,2,2019-04-01 23:49:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
HLXU6773967,2,83.05555555555556,2019-01-19 18:30:00,Gate out empty,1,SANTOS,-23.960833,-46.333889,1,2019-04-12 19:50:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
HLBU1423064,2,31.586111111111112,2019-02-27 14:42:00,Gate out empty,1,ITAPOA,-26.1162431,-48.6180177,2,2019-03-31 04:46:00,Departure from,8,CALLAO,-12.066667,-77.15,2
HLBU1492743,2,41.58819444444445,2019-02-27 10:09:00,Gate out empty,1,ITAPOA,-26.1162431,-48.6180177,2,2019-04-10 00:16:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
HLXU6469070,2,32.37569444444444,2019-02-27 15:41:00,Gate out empty,1,ITAPOA,-26.1162431,-48.6180177,2,2019-04-01 00:42:00,Departure from,8,CALLAO,-12.066667,-77.15,2
