container,movement_count,first_date,first_location,first_status,last_date,last_location,last_status
HLXU8719570,5,2019-03-22 19:19:00,SAN ANTONIO,Gate out empty,2019-04-25 05:00:00,LONDON GATEWAY PORT,Vessel arrival
HLXU8724447,5,2019-03-25 12:52:00,VALPARAISO,Gate out empty,2019-04-25 05:00:00,LONDON GATEWAY PORT,Vessel arrival
HLXU8736999,5,2019-03-25 13:55:00,VALPARAISO,Gate out empty,2019-04-25 05:00:00,LONDON GATEWAY PORT,Vessel arrival
UACU4773813,5,2019-03-25 12:38:00,VALPARAISO,Gate out empty,2019-04-25 05:00:00,LONDON GATEWAY PORT,Vessel arrival
HLBU9227772,5,2019-03-23 12:57:00,VALPARAISO,Gate out empty,2019-04-23 07:00:00,ROTTERDAM,Vessel arrival
UAEU1251026,7,2019-03-22 16:15:00,VALPARAISO,Gate out empty,2019-05-09 07:00:00,GDYNIA,Vessel arrival
HLBU2301100,7,2019-03-19 16:51:00,SAN ANTONIO,Gate out empty,2019-04-30 15:00:00,SOUTH SHIELDS,Vessel arrival
HLBU2301754,7,2019-03-20 09:04:00,SAN ANTONIO,Gate out empty,2019-04-30 15:00:00,SOUTH SHIELDS,Vessel arrival
HLBU2311650,7,2019-03-19 18:20:00,SAN ANTONIO,Gate out empty,2019-04-30 15:00:00,SOUTH SHIELDS,Vessel arrival
HLBU2313518,7,2019-03-20 09:05:00,SAN ANTONIO,Gate out empty,2019-04-30 15:00:00,SOUTH SHIELDS,Vessel arrival
HLBU2313760,7,2019-03-19 18:20:00,SAN ANTONIO,Gate out empty,2019-04-30 15:00:00,SOUTH SHIELDS,Vessel arrival
TEMU1625702,7,2019-03-12 18:08:00,SAN ANTONIO,Gate out empty,2019-04-30 15:00:00,SOUTH SHIELDS,Vessel arrival
HLXU8296190,5,2019-03-19 09:24:00,VALPARAISO,Gate out empty,2019-04-25 05:00:00,LONDON GATEWAY PORT,Vessel arrival
HLBU1517420,9,2019-03-22 17:06:00,PUERTO ANGAMOS,Gate out empty,2019-04-18 03:00:00,"VERACRUZ, VER",Vessel arrival
HLXU5187703,9,2019-03-22 18:01:00,PUERTO ANGAMOS,Gate out empty,2019-04-18 03:00:00,"VERACRUZ, VER",Vessel arrival
UACU8270139,9,2019-03-22 14:29:00,PUERTO ANGAMOS,Gate out empty,2019-04-18 03:00:00,"VERACRUZ, VER",Vessel arrival
FSCU7184613,8,2019-03-05 15:17:00,SANTIAGO DE CHILE,Gate out empty,2019-05-02 07:00:00,GDYNIA,Vessel arrival
FSCU5668481,5,2019-03-23 10:35:00,VALPARAISO,Gate out empty,2019-04-25 05:00:00,LONDON GATEWAY PORT,Vessel arrival
HLBU9041556,5,2019-03-23 16:21:00,VALPARAISO,Gate out empty,2019-04-25 05:00:00,LONDON GATEWAY PORT,Vessel arrival
